subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category	score
P49588	CHEBI:456215	UNIPROT	ChEBI	AARS1	AMP	up-regulates quantity	SIGNOR	SIGNOR	32314272	protein	smallmolecule	0.8
P19883	O14793	UNIPROT	UNIPROT	FST	MSTN	down-regulates activity	SIGNOR	SIGNOR	24627466	protein	protein	0.728
P17252	P35612	UNIPROT	UNIPROT	PRKCA	ADD2	down-regulates	SIGNOR	SIGNOR	9679146	protein	protein	0.2
P06493	P49792	UNIPROT	UNIPROT	CDK1	RANBP2	up-regulates activity	SIGNOR	SIGNOR	26051540	protein	protein	0.472
SIGNOR-C529	P13473	SIGNOR	UNIPROT	Cullin 1-RBX1-Skp1	LAMP2	down-regulates quantity by destabilization	SIGNOR	SIGNOR	28743755	complex	protein	0.257
Q96G03	CHEBI:58225	UNIPROT	ChEBI	PGM2	alpha-D-glucose 6-phosphate(2-)	down-regulates quantity	SIGNOR	SIGNOR	32898648	protein	smallmolecule	0.8
CHEBI:3385	P20309	ChEBI	UNIPROT	carbachol	CHRM3	up-regulates activity	SIGNOR	SIGNOR	9224827	chemical	protein	0.8
O43257	P0C0S5	UNIPROT	UNIPROT	ZNHIT1	H2AZ1	unknown	SIGNOR	SIGNOR	20473270	protein	protein	0.2
SIGNOR-C83	Q14493	SIGNOR	UNIPROT	CyclinA2/CDK2	SLBP	down-regulates quantity by destabilization	SIGNOR	SIGNOR	18490441	complex	protein	0.412
P42224	Q92985	UNIPROT	UNIPROT	STAT1	IRF7	up-regulates quantity by expression	SIGNOR	SIGNOR	16628196	protein	protein	0.481
O14920	Q9NQC7	UNIPROT	UNIPROT	IKBKB	CYLD	down-regulates activity	SIGNOR	SIGNOR	15870263	protein	protein	0.547
Q13315	Q86U44	UNIPROT	UNIPROT	ATM	METTL3	up-regulates activity	SIGNOR	SIGNOR	32615088	protein	protein	0.2
SIGNOR-C411	SIGNOR-C278	SIGNOR	SIGNOR	Inner_mitochondrial_membrane	Mitochondrial respiratory chain complex II	up-regulates	SIGNOR	SIGNOR	25627476	complex	complex	0.2
P08631	SIGNOR-FP6	UNIPROT	SIGNOR	HCK	BCR-ABL	up-regulates	SIGNOR	SIGNOR	9407116	protein	fusion protein	0.2
P17612	Q9Y259	UNIPROT	UNIPROT	PRKACA	CHKB	up-regulates activity	SIGNOR	SIGNOR	27149373	protein	protein	0.254
Q14186	Q01094	UNIPROT	UNIPROT	TFDP1	E2F1	up-regulates activity	SIGNOR	SIGNOR	14618416	protein	protein	0.815
P08047	P37088	UNIPROT	UNIPROT	SP1	SCNN1A	up-regulates quantity by expression	SIGNOR	SIGNOR	12684058	protein	protein	0.2
P12931	Q13224	UNIPROT	UNIPROT	SRC	GRIN2B	up-regulates activity	SIGNOR	SIGNOR	11483655	protein	protein	0.56
P11308	P17813	UNIPROT	UNIPROT	ERG	ENG	up-regulates quantity by expression	SIGNOR	SIGNOR	22235125	protein	protein	0.2
A8MUP2	O75390	UNIPROT	UNIPROT	CSKMT	CS	down-regulates activity	SIGNOR	SIGNOR	34929314	protein	protein	0.2
CHEBI:91326	P24941	ChEBI	UNIPROT	4-(2,6-dichlorobenzamido)-N-(piperidin-4-yl)-pyrazole-3-carboxamide	CDK2	down-regulates	SIGNOR	SIGNOR	Other	chemical	protein	0.8
